"Group1","TEMP","   pH","  ALK","SRP","TDP","TP","NH4","Si","CHL.A","F","Cl","NO2","Br","NO3","SO4","Na","K","Ca","Mg","B","Fe","Mn","Zn","Cu","Al","Flow"
"0.0156990","0.2011834","0.1100000","0.4919448","0.2204409","0.0762332","0.3252174","0.6393443","0.5676430","0.0196258","0.7199265","0.0000000","0.1204502","0.3020000","0.5992973","0.0000000","0.0000000","0.0234068","0.4295529","0.0471934","0.0135335","1.0000000","0.2709944","0.0985776","0.0858212","1.0000000","1.0000000"
"0.0302324","0.1715976","0.3100000","0.8670886","0.1623246","0.0640615","0.0400000","0.3005464","0.5467225","0.0170453","0.5061637","0.0301900","0.0215090","0.3593333","0.7702719","0.0749764","0.0123176","0.0000000","0.7591332","0.1499821","0.0301251","0.1061531","0.3934325","0.0405385","0.0288415","0.0847599","0.4163400"
"0.0516108","0.2840237","0.4700000","0.9919448","0.1543086","0.0506086","0.0347826","0.2185792","0.4198047","0.0443448","0.5560047","0.0465212","0.0216393","0.4253333","0.7415350","0.0614477","0.0173963","0.0036767","0.7198770","0.0484001","0.0041915","0.0154320","0.3519206","0.0511890","0.0000000","0.0084825","0.2889669"
"0.1029240","0.3431953","0.4300000","0.8371692","0.1442886","0.0480461","0.0000000","0.2295082","0.3152022","0.0308309","0.0028339","0.0757949","0.0914296","0.3835690","0.6755435","0.0501354","0.0446650","0.0558346","0.6552871","0.0000000","0.0000000","0.0389700","0.3003360","0.0806688","0.0257857","0.0705764","0.2338573"
"0.2369237","0.4615385","0.5600000","0.6910242","0.1482966","0.0486867","0.0313043","0.1366120","0.1715481","0.1016943","0.0169097","0.0891528","0.0235821","0.4286591","0.6125225","0.0572175","0.0737646","0.0712873","0.6079105","0.0817394","0.0493203","0.0311045","0.1476498","0.0398300","0.0474607","0.0252578","0.1955304"
"0.2008631","0.4792899","0.5100000","0.9568470","0.2064128","0.0691864","0.0834783","0.1803279","0.1882845","0.0785372","0.0886063","0.1170613","0.0767805","0.0066667","0.5596324","0.0830518","0.1532904","0.1239837","0.6675522","0.1479710","0.1150605","0.0277975","0.1114765","0.0750046","0.0724915","0.0147916","0.1675674"
"0.3066640","0.6568047","0.7200000","0.7681243","0.1703407","0.0614990","0.1026087","0.0983607","0.1213389","0.1530678","0.0952518","0.1500270","0.0737823","0.0000000","0.5020170","0.0745172","0.1841010","0.1493066","0.5499175","0.1397479","0.1727450","0.0031931","0.0281446","0.0346086","0.0209874","0.0112144","0.1202493"
"0.9718509","0.6153846","0.4200000","0.5241657","0.0621242","0.0333120","0.1165217","0.3114754","0.0836820","0.7740654","0.1650293","0.1650144","0.0934662","0.5366667","0.4130433","0.0733223","0.1845669","0.1438485","0.2293530","0.0949678","0.3067248","0.0060532","0.0000000","0.0400263","0.0272696","0.0304321","0.1072882"
"0.9415441","0.7278107","0.6100000","0.4154200","0.0641283","0.0281871","0.1721739","0.1748634","0.0111576","0.9135853","0.2425598","0.1974305","0.0883823","0.5360000","0.3685600","0.1034930","0.2078679","0.1669135","0.1985637","0.1841705","0.2662636","0.0000000","0.0291342","0.0326179","0.0494876","0.0193918","0.0791026"
"1.0000000","0.6745562","0.4500000","0.2842348","0.0000000","0.0000000","0.1269565","0.0819672","0.0292887","1.0000000","0.0553790","0.2211346","0.1075448","0.4633333","0.3207300","0.1030084","0.2627018","0.2012470","0.1472470","0.1874330","0.1742774","0.0056975","0.0174912","0.0000000","0.0483190","0.0223645","0.0601927"
"0.0616800","0.7692308","0.2300000","0.6858458","0.3026052","0.1627162","0.3460870","0.0273224","0.4253835","0.0860752","0.0764230","0.2172288","0.0290697","0.4720000","0.5109569","0.0560951","0.2558770","0.2670658","0.4241810","0.0926886","0.3974464","0.0109368","0.1935285","0.1262861","0.0929566","0.0153361","0.1638201"
"0.0118797","0.6982249","0.2500000","0.8262371","0.6272545","0.2139654","0.4765217","0.0983607","0.5341702","0.0204747","0.1960415","0.2732284","0.0434090","0.4780000","0.4685679","0.1056278","0.3600263","0.3441840","0.5212194","0.2473632","0.4943099","0.0545525","0.3287769","0.2512822","0.1314154","0.0366372","0.0533040"
"0.0087795","0.7337278","0.2900000","0.7019563","0.5791583","0.2094811","0.4434783","0.6885246","0.5244073","0.0151438","0.1849657","0.3399409","0.0000000","0.4793333","0.4355857","0.1357946","0.4341604","0.3418848","0.4692160","0.1259832","0.3653209","0.0181609","0.2833484","0.0958168","0.1193162","0.0172942","0.0385124"
"0.0146326","0.6982249","0.2200000","0.5224396","0.6112224","0.1825753","0.4086957","0.3879781","0.5578801","0.0205766","0.2325916","0.3404954","0.1884967","0.3340000","0.5076208","0.2031114","0.4050348","0.3558874","0.4951363","0.1884609","0.4855116","0.0003130","0.2447281","0.1189816","0.1478165","0.0064274","0.0490867"
"0.0080603","0.7751479","0.1800000","0.8227848","0.5931864","0.1909033","0.4156522","0.5792350","0.5327755","0.0156871","0.2037946","0.3421393","0.0581394","0.5193333","0.4124171","0.1693147","0.4195482","0.3400101","0.4112000","0.2128173","0.2976966","0.0316333","0.3545396","0.1516149","0.1308518","0.0220558","0.0394524"
"0.0079115","0.7692308","0.2600000","0.7111623","0.6132265","0.2235746","0.4660870","0.5409836","0.6052999","0.0146345","0.1384474","0.4253510","0.0000000","0.5160000","0.4258958","0.2402275","0.5518252","0.4620260","0.5682641","0.3741062","0.3802029","0.3540796","0.4772325","0.2509395","0.2276450","0.2333150","0.0881556"
"0.0217257","0.7988166","0.2800000","0.7100115","0.6172345","0.2114029","0.4417391","0.3825137","0.6025105","0.0241418","0.1893960","0.3290306","0.0161643","0.4506667","0.3883960","0.1823372","0.4112078","0.3396373","0.3909855","0.1640150","0.3564279","0.0135058","0.3069248","0.2081216","0.1739589","0.0244812","0.0461308"
"0.0101932","0.9408284","0.2300000","0.9269275","0.7034068","0.2402306","0.5373913","0.3770492","1.0000000","0.0248209","0.2414233","0.4214126","0.0566709","0.5485203","0.3745479","0.2284314","0.4908630","0.4036643","0.4254374","0.2546031","0.3562278","0.0128623","0.3592146","0.1405061","0.2713467","0.0000000","0.0334418"
"0.0499244","0.9230769","0.1700000","0.6887227","0.6232465","0.2421525","0.5373913","0.0000000","0.6987448","0.0550745","0.5404986","0.4309611","0.0985502","0.8193333","0.2805167","0.2438743","0.5453745","0.4323532","0.4125315","0.2521898","0.5560492","0.0282024","0.3803912","0.1848682","0.2471639","0.0283685","0.0288163"
"0.6600283","0.9112426","1.0000000","0.0000000","0.1422846","0.0448430","0.4121739","0.1420765","0.0000000","0.6147160","0.6999900","0.5059436","0.0869484","0.5106667","0.0204410","0.2920041","0.5594784","0.4578418","0.0000000","0.2874508","0.4794292","0.3980897","0.3535027","0.0696293","0.2978304","0.1756322","0.0415425"
"0.6536048","0.8284024","0.4200000","0.4315305","0.2004008","0.0787956","0.3321739","0.4371585","0.1046025","0.5816441","0.6711930","0.3392700","0.0692198","0.4906667","0.0000000","0.1985511","0.5966361","0.4469255","0.0246723","0.3497050","0.4940218","0.0552239","0.0609169","0.0646274","0.1634419","0.0371816","0.0400584"
"0.0464274","0.8875740","0.0900000","0.7301496","0.7414830","0.2363869","0.5634783","0.2349727","0.7949791","0.0473668","0.3215710","0.4809315","0.0961065","0.7400296","0.2488243","0.2123217","0.5813790","0.4776030","0.3086833","0.2588935","0.3998999","0.0228060","0.7519835","0.1913332","0.1301227","0.0125022","0.0057014"
"0.0375239","1.0000000","0.0600000","0.8348677","0.7334669","0.2664958","0.5930435","0.1748634","0.8702929","0.0501511","0.1528459","0.5226335","0.0818644","0.8553333","0.2704129","0.2707255","0.6261946","0.5243856","0.3791544","0.2825349","0.8067492","0.4160714","1.0000000","0.1721075","0.1563376","0.1824263","0.0122191"
"0.0126485","0.8934911","0.0500000","0.5926352","0.7815631","0.2696989","0.6313043","0.5901639","0.8786611","0.0148043","0.1617066","0.6087840","0.0551412","0.6920000","0.2862195","0.3496084","0.7505336","0.6329995","0.4856593","0.3491688","0.5696652","0.0222978","0.5715792","0.1639713","0.1771492","0.0261102","0.0108339"
"0.0161454","0.8343195","0.1200000","0.6858458","0.7815631","0.2722614","0.6365217","0.3606557","0.8368201","0.0208142","0.4485696","0.5592849","0.0475804","0.7800000","0.2974765","0.3354663","0.6716739","0.6071588","0.3913674","0.3347336","0.5683005","0.0140919","0.4551611","0.1193282","0.1763322","0.0028700","0.0011378"
"0.0161702","0.7514793","0.0900000","0.6375144","0.7595190","0.2786675","0.6539130","0.3606557","0.8856346","0.0269600","0.4075891","0.5355954","0.0123839","0.5920000","0.3558595","0.2498375","0.6709491","0.5908361","0.3899524","0.2581784","0.4998418","0.0265826","0.3769368","0.1109147","0.1664047","0.0208020","0.0000000"
"0.0326877","0.7337278","0.1400000","0.6823936","0.6973948","0.2459962","0.5565217","0.3114754","0.8145049","0.0144647","0.5737260","0.5415186","0.0000000","1.0000000","0.3455329","0.2874353","0.6214408","0.5288805","0.4014809","0.2655524","0.4169392","0.0167548","0.3413501","0.1067754","0.0801336","0.0245973","0.0223852"
"0.0070683","0.7455621","0.1100000","0.6892980","0.7274549","0.2434337","0.5582609","0.3387978","0.8019526","0.0116804","0.2647114","0.5504915","0.0000000","0.8533333","0.3443973","0.2859741","0.6605471","0.5717896","0.3626693","0.2925009","0.4431622","0.0481956","0.3846692","0.1231825","0.1579922","0.0624104","0.0119594"
"0.0085315","0.7337278","0.1900000","0.6127733","0.7695391","0.3247918","0.5843478","0.3169399","0.8326360","0.0147024","0.4817969","0.6596497","0.0000000","0.7340000","0.5409532","0.3733877","0.7215846","0.6618748","0.4304190","0.3713354","0.8056076","0.0189322","0.2871465","0.1398515","0.1809495","0.0165707","0.0045636"
"0.0017857","0.6804734","0.1600000","0.6726122","0.7535070","0.2664958","0.6086957","0.2349727","0.8772664","0.0154154","0.9137528","0.6177862","0.0000000","0.5606667","0.4676622","0.3839188","0.7006700","0.6373598","0.4107847","0.3349124","0.5609508","0.0279846","0.3632733","0.1313649","0.2949452","0.0180602","0.0039452"
"0.0076635","0.9112426","0.0900000","0.6789413","0.7735471","0.2831518","0.6521739","0.4262295","0.8549512","0.0136498","0.4075891","0.6250760","0.0000000","0.7446667","0.5512551","0.2880459","0.7386043","0.7334935","0.4890861","0.4095906","0.8225739","0.0145015","0.3223243","0.1753073","0.2234620","0.0271912","0.0121944"
"0.0087547","0.8343195","0.1300000","0.7738780","0.7535070","0.2620115","0.6069565","0.5573770","0.8340307","0.0093036","0.4518923","0.6173426","0.0341536","0.6613333","0.4014148","0.2892897","0.7266208","0.6639462","0.5242872","0.4281373","0.5327463","0.0087547","0.3465939","0.1522002","0.1524596","0.0282269","0.0003216"
"0.0050346","0.6923077","0.1700000","0.2422325","0.9178357","0.3260730","0.7495652","0.3005464","0.9093445","0.0133442","0.4075891","0.7946176","0.0000000","0.8073333","0.6223173","0.4307116","0.8557349","0.7995298","0.5911333","0.4660350","0.9390113","0.0470274","0.2743303","0.3481849","0.2482963","0.0397705","0.0051078"
"0.0036953","0.5976331","0.1500000","0.6950518","0.8837675","0.3452915","0.8017391","0.5464481","0.8995816","0.0123256","0.0099062","0.7725606","0.1135254","0.6956897","0.5755584","0.4581884","0.9073729","0.8259402","0.5809029","0.5840186","0.7168080","0.0341024","0.3066344","0.1366479","0.2773756","0.0234030","0.0021519"
